## [iView]
## Converted from:	D:\MatlabFiles\Eyetracking&Matlab\SampleScript\Data\Pilot_CvS_23.idf
## Date:	23.02.2011 12:33:28
## Version:	IDF Converter 3.0.9
## Sample Rate:	1250
## [Run]
## Subject:	test                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	23258                                                                                                                                                                                                                                                           
## Reversed:	none
## Format:	RIGHT, RAW, DIAMETER, CR, POR, QUALITY, MSG
## 
Time	Type	Trial	R Raw X [px]	R Raw Y [px]	R Dia X [px]	R Dia Y [px]	R CR1 X [px]	R CR1 Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency
533617396317	SMP	2	141.51	60.77	31.00	30.00	145.59	62.16	855.47	611.63	0	1020
533617397116	SMP	2	141.49	60.81	30.00	30.00	145.61	62.14	855.59	612.83	0	995
533617397920	SMP	2	141.50	60.72	31.00	29.00	145.59	62.15	855.83	611.78	0	1004
533617398715	SMP	2	141.52	60.83	31.00	30.00	145.60	62.15	856.25	613.20	0	996
533617399516	SMP	2	141.61	60.74	30.00	31.00	145.60	62.13	858.30	612.47	0	1013
533617400316	SMP	2	141.48	60.76	31.00	30.00	145.60	62.12	857.07	612.76	0	997
533617401116	SMP	2	141.53	60.75	29.00	30.00	145.59	62.13	857.53	612.73	0	1009
533617401916	SMP	2	141.56	60.71	31.00	30.00	145.61	62.13	857.81	611.50	0	1001
533617402716	SMP	2	141.55	60.78	30.00	30.00	145.62	62.12	857.50	612.35	0	1007
533617403515	SMP	2	141.52	60.76	30.00	30.00	145.65	62.09	856.37	613.28	0	992
533617404316	SMP	2	141.57	60.75	31.00	29.00	145.65	62.09	856.44	613.81	0	1007
533617405115	SMP	2	141.59	60.75	31.00	30.00	145.66	62.11	856.59	613.83	0	996
533617405916	SMP	2	141.52	60.80	31.00	30.00	145.66	62.08	855.70	614.98	0	1016
533617406717	SMP	2	141.60	60.77	31.00	30.00	145.66	62.12	856.46	614.55	0	1000
533617407517	SMP	2	141.59	60.70	30.00	30.00	145.69	62.08	856.13	613.65	0	1006
533617408314	SMP	2	141.60	60.73	30.00	30.00	145.69	62.10	856.14	613.13	0	996
533617409115	SMP	2	141.68	60.77	30.00	30.00	145.71	62.09	857.47	613.43	0	1007
533617409914	SMP	2	141.54	60.72	31.00	29.00	145.71	62.08	855.33	613.60	0	996
533617410716	SMP	2	141.67	60.68	30.00	29.00	145.73	62.08	856.54	612.79	0	1010
533617411515	SMP	2	141.67	60.76	31.00	30.00	145.75	62.05	856.76	614.11	0	996
533617412317	SMP	2	141.63	60.76	31.00	29.00	145.74	62.05	856.12	615.04	0	1004
533617413114	SMP	2	141.60	60.66	30.00	30.00	145.73	62.05	855.56	613.82	0	996
533617413916	SMP	2	141.60	60.80	31.00	31.00	145.74	62.05	854.54	616.07	0	1006
533617414714	SMP	2	141.59	60.76	30.00	30.00	145.76	62.09	853.40	615.26	0	1029
533617415521	SMP	2	141.71	60.73	30.00	29.00	145.76	62.06	855.16	614.95	0	995
533617416315	SMP	2	141.68	60.74	30.00	31.00	145.76	62.08	856.05	614.61	0	1009
533617417115	SMP	2	141.69	60.78	30.00	29.00	145.79	62.07	856.25	615.01	0	1008
533617417917	SMP	2	141.65	60.76	29.00	30.00	145.79	62.05	855.52	615.79	0	1010
533617418716	SMP	2	141.63	60.79	30.00	30.00	145.76	62.05	854.80	616.88	0	993
533617419516	SMP	2	141.68	60.73	30.00	29.00	145.80	62.06	854.77	616.39	0	1009
533617420315	SMP	2	141.68	60.76	31.00	31.00	145.82	62.03	854.45	616.61	0	995
533617421116	SMP	2	141.63	60.76	31.00	29.00	145.79	62.06	853.89	616.37	0	1007
533617421914	SMP	2	141.70	60.74	30.00	29.00	145.80	62.04	854.40	616.21	0	998
533617422716	SMP	2	141.65	60.78	30.00	29.00	145.80	62.05	854.20	616.80	0	1028
533617423535	SMP	2	141.64	60.75	30.00	29.00	145.85	62.03	852.65	616.91	0	975
533617424316	SMP	2	141.69	60.75	32.00	29.00	145.81	62.05	853.47	616.80	0	1044
533617425116	SMP	2	141.67	60.75	30.00	30.00	145.83	62.03	853.16	616.92	0	1004
533617425916	SMP	2	141.68	60.70	30.00	30.00	145.81	62.05	853.59	615.74	0	1006
533617426714	SMP	2	141.75	60.74	30.00	29.00	145.84	62.06	854.89	615.41	0	995
533617427515	SMP	2	141.72	60.74	30.00	30.00	145.82	62.06	855.49	615.17	0	1018
533617428315	SMP	2	141.67	60.80	30.00	30.00	145.83	62.04	854.77	616.52	0	1006
533617429116	SMP	2	141.70	60.72	30.00	29.00	145.83	62.06	854.59	615.89	0	1009
533617429916	SMP	2	141.74	60.70	30.00	29.00	145.81	62.06	855.46	614.77	0	993
533617430715	SMP	2	141.74	60.82	30.00	29.00	145.81	62.08	856.20	616.03	0	1006
533617431516	SMP	2	141.65	60.81	30.00	31.00	145.80	62.06	855.55	616.82	0	994
533617432315	SMP	2	141.69	60.67	30.00	29.00	145.79	62.08	855.54	613.96	0	1008
533617433115	SMP	2	141.75	60.76	31.00	30.00	145.80	62.08	856.47	614.75	0	999
533617433916	SMP	2	141.66	60.79	31.00	29.00	145.81	62.08	855.27	615.14	0	1005
533617434714	SMP	2	141.68	60.79	30.00	29.00	145.84	62.07	854.48	615.84	0	994
533617435515	SMP	2	141.72	60.81	30.00	31.00	145.81	62.11	854.92	616.35	0	1008
533617436314	SMP	2	141.66	60.76	30.00	29.00	145.79	62.08	854.53	616.03	0	995
533617437115	SMP	2	141.70	60.78	30.00	30.00	145.79	62.08	855.28	615.85	0	1009
533617437914	SMP	2	141.66	60.79	30.00	30.00	145.77	62.09	855.62	615.90	0	999
533617438716	SMP	2	141.72	60.76	31.00	29.00	145.77	62.10	856.57	615.28	0	1007
533617439515	SMP	2	141.65	60.70	31.00	30.00	145.77	62.09	856.13	613.83	0	993
